ibanSource,amount,transactionType,companyName
LU183648784BA5Y07198,845.45,deposit,Heller  Kilback and Watsica
TR16709613275968012825979B,470.36,deposit,Heidenreich  Hauck and Howell
TR887907359A469G337759MK11,235.37,deposit,Stark  Doyle and MacGyver
LI0518481555212641008,843.62,deposit,McKenzie Inc
XK100065005040044008,749.08,invoice,Dooley - MacGyver
XK210242002878503159,18.49,invoice,Lemke - Wintheiser
BG75NPCB9950792Q8M3210,410.34,withdrawal,Block  Haley and Corwin
DK2201932004861064,64.65,invoice,Pfannerstill - Schaden
KZ562436829521W20810,609.11,invoice,Heidenreich  Cummerata and Gerlach
MR6900050094171006350107035,23.24,payment,Gleason  Morar and O'Kon
RO64QSQJ5GLU0623X16954C0,83.66,invoice,Kirlin  Jaskolski and Schuppe
LI6963747P25601694730,578.94,deposit,Renner - Labadie
BG79AMKR7800319759096D,124.21,invoice,Morissette - Kreiger
FO9043557078978047,930.71,withdrawal,Predovic - Lynch
EE293414625047002006,481.71,payment,Bashirian and Sons
IT12U0930231615J610J8217029,449.51,invoice,Klein  Bayer and Hintz
AE265981042940750056093,197.49,withdrawal,Johns - Koss
IS177000423007475117367416,738.74,withdrawal,Keeling  Bayer and Bechtelar
IE898Q0600010538032914,31.13,payment,Jenkins  Nienow and Raynor
DK6408020840041566,244.28,deposit,Mraz - Jones
RO52FBPY959022552967887L,103.47,invoice,Connelly  Hammes and Braun
BE86240021660870,781.68,payment,Sporer - Thompson
RO80ACUV91840919C42285OE,610.75,deposit,Schoen - Schuppe
IS040200180206885009806156,319.36,invoice,Rutherford - Weissnat
BE68964011202676,416.98,deposit,Bins - Legros
SM51B3640010708037210D4M258,264.88,deposit,Satterfield - Koss
BR4809190044051580452084684Z5,428.25,deposit,Wisoky - Upton
GE272H1223889429100155,567.26,withdrawal,Mayert - Bernhard
KZ333807I50E6IF84296,977.55,payment,Lowe  Torp and Douglas
MK11073GY4089G67665,295.20,deposit,Littel - Bednar
MK2111775376085L108,374.94,deposit,Wiza - Crist
GB87LZSJ00794057263047,542.96,invoice,Rodriguez and Sons
CZ0302095070030030018745,784.98,invoice,Johnston LLC
GT48G997P99915J31J510I43P283,923.02,deposit,Pagac - Von
AD106100300474H5456M6467,183.65,payment,Tillman - Breitenberg
IT43R054004122813U8986172R0,261.14,deposit,Bosco - Osinski
LU1738795564Z306B3O5,251.32,deposit,Boehm - Schmidt
CY1881550396669S162492180940,245.18,payment,Feeney - Shields
ES5308168808115861018007,754.17,payment,Kling and Sons
MC46040091094826M3H0821SA04,95.01,payment,Reynolds LLC
KZ86007291603XT52280,843.36,invoice,Kassulke Group
TR75306122179500947396994I,394.20,payment,Cartwright  Ernser and Maggio
AT100053296429757182,569.60,withdrawal,Lynch and Sons
ME09384803774890071866,925.47,payment,Waters - Beer
SE7624605009570090020889,7.57,withdrawal,Ruecker - Predovic
FO8080577080865645,630.62,payment,Morar Inc
RO71IZKZY5622046829996R8,183.46,withdrawal,Pfeffer  Kling and Ratke
AT453030972020700715,323.27,withdrawal,D'Amore - Bailey
LI31728262J1907105CZ1,449.04,deposit,King  Ortiz and Boyer
NO2467374007020,736.99,invoice,Pacocha LLC
PT23082098130020096000638,123.44,invoice,Towne - Kulas
DE25159330160905701813,549.07,withdrawal,Lind  Tillman and Ebert
HR7079330035900735089,295.73,deposit,Bogan Inc
SK9202007621582987500258,533.87,withdrawal,Beer LLC
CR1543070622009004440,114.75,invoice,Buckridge - Dibbert
AZ397U3L31009078007195005935,968.40,deposit,Lang and Sons
NL87OTEQ4005008110,797.84,payment,Ernser LLC
PT64601109910071700430157,73.74,withdrawal,Bartell - Dooley
FI1479062130858050,916.57,payment,Kreiger Inc
GI32FQRFB07N3H57Q2245BH,966.89,deposit,Dach  Hand and Jenkins
DO94PHRB09553305360087801402,945.42,deposit,Rodriguez - McLaughlin
SI57805532050430436,24.55,payment,Schroeder  Lebsack and Sauer
LU310682C6629V82XU79,363.67,deposit,Hintz - McClure
BR9762003109823177971830050N0,834.26,deposit,Crona - Schultz
IT06C00544606431269Z453022F,575.75,invoice,Ledner - Prosacco
SE2041002008602057279687,47.06,invoice,Brown and Sons
JO82GPFU2095064004640070009160,874.52,deposit,McLaughlin - Huel
SA109737Z56864471458J331,420.76,invoice,Anderson Group
GB40DSZU80635354004009,441.46,invoice,Vandervort LLC
LB36013541M4648538VW34697770,683.82,invoice,Barton Inc
MC822077755346Y939430IM7824,820.53,withdrawal,Koelpin - Fahey
IE14514220059450700237,521.26,invoice,Balistreri LLC
DO40CYUI36980064599009690074,990.90,payment,Schulist and Sons
PL62090022448010940419904683,685.24,withdrawal,Gleason Inc
XK751883006400142004,536.57,payment,Konopelski - Pagac
ME44847009530040060043,334.79,deposit,Durgan - Kilback
BG12XWKB0200866780Y009,638.07,deposit,Heaney Inc
AT390312900857600844,588.30,withdrawal,Toy - Graham
NL95CDVI7301080255,847.38,deposit,Collins - Stiedemann
AD7322600068299J4750U8QG,694.65,payment,Block - Runte
MU18NWAZ5056002005010016007XUU,383.07,payment,O'Conner - Mosciski
HU42107430700461500157812004,739.75,invoice,Wisozk  Treutel and Yost
MT76ZZMX101104405305495881N8432,981.36,payment,Vandervort Group
FI7302803000180718,637.52,invoice,Wintheiser  Douglas and Pacocha
CZ7957040802060406700408,869.32,deposit,Kutch - Pfannerstill
MU58IKID9941056118238534315JVZ,956.40,withdrawal,Emmerich  Stracke and Mills
AL73720530056F0636A561506H01,823.58,payment,Welch - Hammes
BG19LIFC0020469536JK69,753.53,deposit,Koch - Reynolds
SE8806864920311300553407,523.36,withdrawal,Hauck - Ernser
KW54UVLE1890V02673Z3192641P760,996.72,withdrawal,Luettgen  Wunsch and Keeling
IL545906660711405590571,697.43,invoice,Johns and Sons
BR0400885009003626328721001X3,365.25,payment,Connelly  Ward and Schuppe
GL9340707200210821,624.08,payment,Schaden - Willms
PL74050300929869008058894010,340.34,payment,Mayer - White
IE39288580534200600786,642.42,withdrawal,Marquardt  Murazik and Williamson
MK76951039Z704L0X14,557.14,invoice,Welch  Veum and Reilly
IE895C8330056500402059,604.70,payment,Adams  Rempel and Treutel
MT02SLEN52833613M03X2J120513NCR,444.91,deposit,Tromp LLC
LB9253152B7L47838981157V8C81,187.42,payment,Gusikowski Inc
SE6032704000605600363310,265.13,payment,Conn and Sons
IL130220691080251056829,636.91,payment,Hoeger  Graham and Morar
FR48841300900296776270MF896,630.22,payment,Rowe Inc
SA826472100ZS80672911613,282.22,withdrawal,Pfeffer Group
CR9179240904505547025,221.80,invoice,Schultz Group
KW60XJYD3QP670846P2458J829B567,940.95,withdrawal,Adams LLC
MU45QNAF0017004450910534003SSI,919.28,payment,Ferry  Hyatt and Parisian
QA67GJDUJ523N76UD1V15967N7353,686.62,deposit,Bradtke and Sons
SM30J5054636086635KC54742T5,250.65,invoice,Fadel  Hettinger and Reynolds
NO6116141005164,708.18,withdrawal,Green  Zemlak and Cummings
BE21003740357842,414.01,deposit,Greenfelder  Murphy and Farrell
MK77034E5905552O355,791.66,deposit,Wyman - Dickinson
FR65780022506104803D7996365,620.92,withdrawal,Farrell Group
MU13XWQU1494300014280380098SHB,314.57,payment,Spinka - Orn
RO72QIFZ2D54365921H19429,657.21,payment,Schmeler and Sons
IL959001510158130300955,812.62,invoice,D'Amore and Sons
AE249482405017337106491,765.46,withdrawal,Steuber  Blanda and Heaney
SE2841413250362113003008,298.79,invoice,Bahringer - Wisoky
IS764002530300550010031371,761.80,payment,Bailey  Welch and Runolfsdottir
SE1835944090077408143006,466.12,deposit,Morar - Erdman
IS672552915090600081009006,662.34,payment,Hills  Kozey and Baumbach
HU62006808961005603040010493,850.09,invoice,Rolfson and Sons
MD0550551087680109W83F11,227.31,deposit,McClure LLC
NL11QMWI9070064425,946.84,deposit,Schuppe LLC
GI42RINZ633F5E30588K706,381.01,payment,Gibson Group
FI8605002650808975,975.41,withdrawal,King - Mosciski
FO3567250538433722,769.81,withdrawal,Ullrich  Brekke and Prohaska
CR8380661007901926120,381.81,payment,Deckow - Pfeffer
BH97PCDO8615OIWE085I16,31.15,invoice,Schinner Group
DK4060053070012021,100.93,deposit,Torp  Skiles and Ondricka
FR7840030486515I9G8K3910760,452.74,payment,Hansen Group
QA34KWNOAU0932021713222212406,326.22,invoice,Deckow  Quigley and Durgan
AE506943700799035836703,831.22,invoice,Mayer - Cummerata
GL2950075300520097,149.92,withdrawal,Hansen - Dibbert
BA705070217016363783,920.12,deposit,Swift - Langosh
CY360060443996261937447AS966,498.09,payment,Tremblay  Wunsch and Ritchie
TL350078550030178070016,93.82,payment,Murphy - Schaden
CY09503638295JN2ZMR854992E30,924.75,deposit,Pfeffer and Sons
KW18BTDN8HC677003Y332RW68L3G3O,27.21,deposit,Dare Group
NL52PQQN6400400104,787.74,payment,Ortiz - Wehner
IT71S4370809003907502195309,682.71,invoice,Tromp Group
SI04854915269755616,552.80,payment,Thiel - Parker
SA955789NO652G3673L4M688,592.71,deposit,Mills  Gutmann and Barton
MD2996UV4V3647009O038890,219.95,invoice,Powlowski  Thompson and Eichmann
GT380266393634919S0O731155B4,128.66,deposit,Langworth  Kilback and Morar
RS75855796404769408076,349.62,invoice,Rosenbaum LLC
LB4665462485AR7P4AV492339412,268.26,invoice,Mueller  Muller and McGlynn
BA071360221340504673,563.49,withdrawal,Johns  Tromp and McKenzie
CY4286019663U5O71938398195R6,128.98,payment,Stanton  Bogisich and Kreiger
MR5600602160811110094211429,380.61,payment,Hudson and Sons
KZ35007B443W89999544,653.45,invoice,Labadie  Mante and Boehm
GB98JZQW07208480073091,754.26,invoice,Bednar and Sons
PS15X428001001742006317080541,635.30,deposit,Steuber Inc
FO6435426963056695,862.32,deposit,Miller LLC
GE78269480063753230016,811.11,payment,Hahn - Gleason
FI4951007700502211,792.05,deposit,Ullrich Inc
SM78G4800919695515712S82679,896.09,withdrawal,Waters  Harber and Schmitt
AD50834430043384R51325K1,288.92,deposit,Schiller - Ryan
JO25FKIK2410140251646090052337,449.46,deposit,Gorczany  Harris and Douglas
KZ58413222N8640C2408,70.87,withdrawal,Fritsch  Predovic and Wiegand
BA972807380500064017,411.60,withdrawal,Howell Group
KZ257355290627096830,262.72,invoice,Jacobson and Sons
FR8303620164650P8369354Y831,269.96,deposit,Kuhlman Inc
CR2800900351200403646,394.08,deposit,Cremin  Larson and Howe
DK3282248570447029,651.22,invoice,Bogan and Sons
LB4001604826Y0912182190H36D0,422.78,withdrawal,Bailey - Lueilwitz
DO60GXTU01007060757037179311,501.48,payment,Weber  Gusikowski and Collier
LI3122299263224139R92,170.60,payment,Kuhn Inc
AZ66274I90050057380348047566,2.69,invoice,Collins  Hartmann and Crist
IE29DH4Z20096600170755,993.55,deposit,Daniel Inc
CY31475900299BB5926Z9L29547H,791.07,payment,Waters - Parker
GR219088337324Z12X97Q7069I0,867.23,invoice,Altenwerth  Fritsch and Schaden
MD56W2NDI6678X41N9K63465,850.12,deposit,Mayer LLC
DK0868296050094879,810.12,deposit,DuBuque  O'Connell and Brakus
TL730417249049741700464,617.14,payment,Wehner - Steuber
PK3515590130070408076360,43.59,payment,Mohr  Gutkowski and Labadie
HU53104056141500171558711863,269.50,deposit,Koepp - Kling
VG360Z745201307096107782,806.25,invoice,Walsh - Bergnaum
CZ2653036749920053110017,104.95,payment,O'Keefe - Wuckert
IT22E5900123273972L226148D3,129.27,deposit,Kshlerin - Mueller
MU72TJPH0015230019320887211YWS,589.44,invoice,Dickens  Mante and Kautzer
NO9130030760059,858.37,deposit,Dare  Sipes and Bednar
GR76965389067370IO46H3D38Q1,232.08,withdrawal,Hermann  Ledner and Klocko
DE25009010079743900665,370.25,withdrawal,Runolfsdottir  Jacobson and Haag
ME20430800106404580591,322.98,payment,Price Group
LT470076857097069033,359.69,deposit,West  Hirthe and West
GE31100404848006788064,344.95,deposit,Gerlach  McGlynn and Harber
VG157F563097004840090529,849.32,deposit,Hagenes - Schumm
BE95533007072228,318.99,payment,Davis LLC
AT780081305643084024,985.73,withdrawal,Robel  Fritsch and Mohr
LB239473S1685R3L27E69R750907,67.86,deposit,Dickinson  Luettgen and Herzog
LV83DJKW8208896G09777,850.47,deposit,Emmerich - Kessler
NO8390465006599,91.04,deposit,McCullough Group
MK52030Q15607782059,216.48,withdrawal,Armstrong Inc
QA79RVSO684H1AL48593698864F25,784.58,deposit,Heathcote  Crooks and Abshire
HU70250100158001051030604006,133.00,invoice,Frami - Gerhold
FO4385939740004158,120.60,payment,Pfeffer  Schaden and Johnston
PK4278W10070060682002009,877.67,payment,Roob Inc
GL8591528955713648,93.67,payment,Konopelski LLC
AT158071050300480074,839.62,invoice,Considine  Considine and Schinner
SI66200162002106188,368.56,payment,Marvin - Abshire
FI6860095340081056,133.02,deposit,Walker Group
DE51507005618170520744,695.80,withdrawal,Beatty LLC
LB32109880LCWB43J0578155CVC1,85.65,payment,Mann - Christiansen
IL368006430084005277046,976.76,withdrawal,Feeney and Sons
LT120010688787900099,404.08,deposit,McCullough Inc
NO5800090031001,847.93,payment,Schuppe - Casper
TL327137084141017095030,638.27,payment,Kertzmann  Hagenes and Rice
HR4105006925010050026,930.19,withdrawal,Herman - Adams
LT243533000545972103,614.93,payment,Lakin - Kuhlman
XK755015970620040002,560.83,withdrawal,Williamson LLC
SM79H9099015544A5A1HM33684K,873.69,withdrawal,Gutmann - Heathcote
ME24007220020802008371,62.37,payment,Schiller - Schumm
BH70VNXPBD41339N270P73,998.13,payment,Ferry Group
FI0251143824505852,221.47,payment,Runte  Considine and Friesen
KZ913523N25L64076Z53,852.14,invoice,Doyle  Quitzon and Johnson
LT851152400450900831,557.47,payment,Luettgen  Cole and Huel
PL51908320280080900968006327,957.64,invoice,Hintz - Jacobs
NL20LICX9009010049,70.25,payment,Leffler - Schmitt
AT610093630064779826,902.33,payment,Mann  Padberg and Vandervort
NO2030812422451,386.42,withdrawal,Lesch LLC
KW98LQPL72495787213628J7134834,672.34,invoice,Keeling  McGlynn and Ferry
DE12300967183147027428,791.78,deposit,Treutel Group
SI79007290040303062,308.45,payment,Conroy  Crooks and Weissnat
FO9500436131276630,233.66,deposit,Dickens - Weimann
QA51LFWQ96317Q24B679081578871,774.59,invoice,Orn and Sons
FI3187690209000920,358.41,deposit,Dach - Brekke
FI5664005188351009,353.53,deposit,Smith Inc
MR3503079086071640066284177,798.25,deposit,Monahan  Funk and Schuppe
IE03699C12056197550745,181.44,withdrawal,Hermann  Deckow and Walker
GT96O2564D495215Y165R51Y4A74,241.04,invoice,Kautzer - Fadel
RO23HIAL3587214185204MW8,686.64,withdrawal,Marquardt  Abbott and Kunde
DE64870080600040703882,702.07,payment,Eichmann Inc
LT383142384409002026,365.11,payment,Kling - Murray
BG57FTKF0960724I65XF20,841.35,payment,Tremblay - Kunde
LU29070201G34L3YP019,102.31,withdrawal,Corwin and Sons
LB340303061876M7510150G8W031,397.45,withdrawal,Williamson - Collier
PL02120077900400145154700459,190.98,deposit,Kerluke - Von
GT037384727I37P668Y484559963,222.24,payment,Kemmer - Littel
SA676642T175461W32G581M8,658.95,invoice,Tromp Inc
SK6500480060100090393094,100.21,invoice,Pacocha  Purdy and Bahringer
RS66331149407300302032,76.44,invoice,Dickinson Inc
AD293006309619167673N0D2,274.52,invoice,Kulas Group
LU64910Y880717286030,388.90,invoice,Littel Group
CZ7700183670322500120093,871.23,invoice,Stiedemann Inc
CY2148089436439Q8G3114X47968,813.83,withdrawal,Denesik  Kessler and Abbott
LU460782KLFKP62K7691,144.67,payment,Streich LLC
QA98UNUB69676531466569E268779,351.62,deposit,Bayer - Rohan
FO0610490020198771,117.70,deposit,Fisher Inc
CR5834030301600300079,572.79,withdrawal,Schmeler - Rosenbaum
BE45740711761002,469.74,payment,Baumbach LLC
MK592852R9847241695,667.11,withdrawal,Homenick LLC
AE890086251620700426289,477.21,invoice,Roob - Lockman
GR68490700457030C008199QP13,501.47,deposit,Dietrich - Hirthe
LU875336844835632973,419.58,deposit,McDermott  Smith and Hilll
VG0489326060188600310015,64.44,payment,Hilpert  Howe and Kiehn
NO9004700694371,288.57,invoice,Lesch  Herman and Lakin
GT251299E40M4271WVE910822924,140.18,payment,Toy Group
MR6409057798010370818104058,607.66,invoice,Witting and Sons
QA93ANPJ81A46028Y801701993883,287.72,invoice,Cummings  D'Amore and Weissnat
RS06853080043600930749,111.54,payment,Leannon - Bergnaum
AT349001809059950052,986.27,payment,Ferry and Sons
RS48539100448225815415,664.05,payment,Kovacek - Kiehn
CH454567132A3R0999422,819.68,payment,Bartoletti - Monahan
FR2624200305102965S0207YV10,103.50,payment,Feeney  Wunsch and Reilly
SI63096210090861027,462.23,withdrawal,Grady - Marquardt
RO70OBNW27H678181246X736,76.95,deposit,Auer  Rippin and Bradtke
BG09TGXE468115038C2864,326.65,deposit,Watsica - Bogan
RO14EWLTXL734B5519981106,121.72,payment,Hudson  Leuschke and Stracke
IT94S8907032284724M1H38208J,297.86,invoice,Hirthe  Rowe and Schaden
PK11I9138480026907002893,15.35,deposit,Dickinson  Bartoletti and Lockman
TN0366300600800813900613,718.14,payment,Runolfsson - Jerde
HR3294060537040709548,188.07,payment,Larkin - Bahringer
BA354529520700207008,214.70,deposit,Fahey  Koelpin and Spinka
GB92DOFJ39001277045002,545.67,payment,Kihn - Parker
BR7648109204430090080786027A0,740.08,invoice,Langosh Inc
MD26X91635030S124O83918D,216.28,deposit,Strosin Group
FR670892060581175ZV6478B218,198.21,invoice,Rosenbaum  Schuppe and Weber
DK6622283080500160,566.28,payment,Boyle Group
LI6036009S8691190RW4Z,73.39,payment,Wolf and Sons
ES3712518508250010557630,980.98,payment,Padberg  Kihn and Pfeffer
GI29ODDF016036M8V683326,475.21,deposit,Wisozk  Dibbert and Senger
SM87M70062007403702B37280P4,878.75,deposit,Wisoky Group
IS447046718328165900190117,268.21,deposit,McDermott Group
LT420060002910606274,920.49,deposit,Quigley  Hoeger and Abernathy
MC48797009616804387727Y3122,690.22,deposit,Hudson - Skiles
PT08406400540004001762002,774.78,withdrawal,Kassulke - Tromp
CZ5612062706820518100295,400.85,deposit,Mraz - Grant
FO6780909020200976,217.08,withdrawal,Bins Group
MD58L67718909T7T2818I580,231.35,invoice,Harber  Wolf and Fay
KZ3044277C7F68747692,162.34,deposit,Wiza  Ferry and Dicki
TR820097474U7198958968I29U,954.51,withdrawal,Koss - Ankunding
PT60008480035500103754482,746.62,deposit,Toy LLC
IE52397202399684062869,647.44,invoice,Koelpin - Wilkinson
GR5107994457392449482396987,95.84,invoice,Fadel - Pfannerstill
FI3839716280221068,584.56,invoice,Christiansen - Langosh
LV31VEXJ232318B022F42,117.80,withdrawal,Wilkinson - Denesik
AD76760191013000976HD617,327.79,deposit,Littel LLC
RO33PVPE9BH075912811OA7J,93.57,deposit,Dach and Sons
AZ61598801537277003007400748,181.37,invoice,Nicolas LLC
IT16B8710151671N82D9121N3J4,582.16,deposit,Bashirian  Bashirian and Schuster
FO6776760184306089,112.60,deposit,Keeling and Sons
SE0412281330360010081911,213.01,payment,O'Reilly  Daniel and Lueilwitz
BG34RFPK8391312QX668B9,452.22,payment,Mills LLC
HR6335684720804440001,283.16,payment,Hyatt  Stiedemann and Ryan
IS538865246002007567551193,809.89,deposit,Haley - Price
AD9870027247440U71852558,638.45,invoice,Lang - Watsica
HU29001663687865394800809222,393.88,deposit,Stracke LLC
RS82064005600147980941,716.35,payment,Ernser  Carter and Wunsch
GE30240090560330007879,964.48,invoice,Cronin  Jones and Lind
RS17415195005006507008,7.96,deposit,Hilll  Hodkiewicz and Turner
RO75MQIS15JZ979440P15592,194.92,payment,Lang and Sons
PK14D3X20092300251900717,248.68,deposit,Zulauf  Reichert and Kunze
GT7249150R63761182A939014330,877.62,invoice,Towne  O'Hara and Dibbert
SI50005296813480004,205.11,withdrawal,Monahan  Dare and Ledner
QA36DFHY5H152021G45628P80N608,997.97,deposit,Balistreri - Schuster
GI61OZQKU0IY61497UV087W,391.41,payment,Will Inc
BA080678900500303575,331.65,withdrawal,Dibbert Group
HU91052110760049630335197204,961.31,deposit,Green  O'Conner and Botsford
TR75840316503627LX2Z114HAC,529.03,payment,MacGyver and Sons
MC025106991009E77429G286201,981.38,invoice,Wyman - Cronin
LV53NDBT9268321883513,660.86,deposit,Ruecker - Kemmer
LV86TEUT639231N820I95,537.33,invoice,Kirlin  Hoppe and Trantow
SI17312990590070440,103.27,invoice,Rippin Inc
MT74FUXK9019544707881095W9268X3,372.24,invoice,Kuphal - Mertz
AD979587005926F747401S9A,599.17,deposit,Haag and Sons
VG56T8418854001630072930,217.99,invoice,Nienow and Sons
JO19JKDC0838003417133665006292,291.01,deposit,Zieme - Mills
AD276025780769792RRU5UC9,439.76,withdrawal,Sawayn - Barrows
GT02Z77946449365330AJ1Y3NLU9,717.56,payment,Gerhold Inc
PS813426240703084155070068003,365.39,withdrawal,Homenick - Quigley
RS03294600807400873007,836.30,deposit,Reichel - Stehr
AZ08307940553003263902900575,60.80,withdrawal,Robel  Bergstrom and Murphy
MT08JYQQ08196X59E27Y842T596WH75,775.74,withdrawal,Kertzmann - King
HU59061430010044264005033008,282.93,payment,Bernhard and Sons
PT64006383413060442006041,272.44,payment,Hudson  Ritchie and DuBuque
